radius,velocity,velocity_error,other_value,other_error
22.08,104,5,17,7
22.17,105,6,17,7
22.25,106,8,18,7
22.33,107,7,19,8
22.42,106,7,18,8
22.50,105,5,17,7
22.58,107,5,16,7
22.67,107,6,17,8
22.75,105,7,16,7
22.83,107,5,15,7
22.92,108,5,16,7
23.00,109,5,15,6
23.08,111,4,15,6
23.17,112,4,15,6
23.25,111,3,15,6
23.33,111,4,15,5
23.42,108,7,15,5
23.50,108,8,15,6
23.58,108,6,14,5
23.67,109,6,13,5
23.75,108,6,14,7
23.83,105,7,15,7
23.92,106,7,16,8
24.00,110,5,17,8
24.08,111,5,16,7
24.17,105,6,16,7
24.25,105,6,16,8
24.33,109,3,18,9
24.42,113,5,17,8
24.50,116,4,17,9
24.58,116,4,16,7
24.67,115,4,16,7
24.75,113,4,16,7
24.83,111,4,16,7
24.92,113,4,16,6
25.00,114,4,16,7
25.08,115,3,14,6
25.17,116,6,14,6
25.25,113,10,13,6
25.33,119,6,14,6
25.42,112,14,14,6
25.50,113,14,14,6
25.58,111,14,15,6
25.67,109,16,15,6
25.75,107,19,15,5
25.83,106,18,15,6
25.92,107,18,16,6
26.00,108,19,17,7
26.08,110,17,17,6
26.17,110,18,16,6
26.25,111,20,16,6
26.33,108,17,17,6
26.42,104,16,17,6
26.50,105,17,16,6
26.58,108,18,15,6
26.67,109,17,15,7
26.75,112,17,15,7
26.83,114,16,16,8
26.92,112,14,15,8
27.00,110,14,14,8
27.08,112,11,15,8
27.17,115,7,15,9
27.25,119,7,14,9
27.33,116,4,15,9
27.42,119,5,15,12
27.50,121,3,20,14
27.58,126,8,15,7
27.67,116,3,12,8
27.75,114,7,13,7
27.83,122,10,15,8
27.92,124,13,15,8
28.00,130,3,19,12
28.08,126,4,15,9
28.17,128,4,16,9
28.25,129,3,16,11
28.33,126,5,14,6
28.42,120,3,14,7
28.50,123,3,17,10
28.58,123,3,19,13
28.67,126,3,16,9
28.75,124,4,19,9
28.83,123,3,15,9
28.92,124,4,19,10
29.00,125,5,19,9
29.08,128,3,16,7
29.17,122,3,15,8
29.25,123,10,15,8
29.33,123,3,17,10
29.42,124,4,13,5
29.50,121,3,15,8
29.58,118,4,15,5
29.67,118,9,19,10
29.75,122,3,15,8
29.83,122,3,15,15
29.92,124,4,14,7
30.00,121,3,14,10
30.08,121,3,16,10
30.17,122,3,15,7
30.25,124,3,14,7
30.33,119,6,15,6
30.42,123,3,15,7
30.50,119,6,15,7
30.58,123,3,15,7
30.67,122,4,14,6
30.75,119,5,12,8
30.83,122,3,13,6
30.92,122,3,12,7
31.00,122,4,15,11
31.08,124,4,13,8
31.17,122,3,20,14
31.25,120,3,20,19
31.33,124,5,21,23
31.42,122,3,12,7
31.50,122,3,19,14
31.58,123,3,22,16
31.67,122,3,17,11
31.75,128,6,22,11
31.83,122,3,17,12
31.92,122,3,15,13
32.00,128,4,22,21
32.08,122,3,16,7
32.17,126,5,16,9
32.25,122,3,25,17
32.33,122,3,30,3
32.42,126,5,20,19
32.50,121,4,19,7
32.58,122,3,29,20
32.67,129,8,13,9
32.75,122,3,15,4
32.83,122,3,18,8
32.92,122,3,18,13
33.00,123,3,22,3
